Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xA,Team_Odds,Pts_w_Godds__,Starting
Gustavo Bou,NE,,12200,90,0,0,5,1,7,4,24,3,0,1,0,0,0,19.38,19.38,0.5,0.344827586,18.15,y
Alexander Buttner,NE,,9600,90,0,0,0,0,16,0,48,1,0,1,4,0,0,16.16,16.16,0,0.344827586,14.93,y
Julian Gressel,DC,,9000,86,0,0,2,0,6,4,48,0,0,1,1,0,0,12.66,12.66,0.2,0.392156863,13.79,y
Junior Moreno,DC,,4000,90,0,0,0,0,1,1,47,0,1,4,2,0,0,7.14,7.14,0,0.392156863,8.27,y
Kelyn Rowe,NE,,4800,85,0,0,1,0,7,1,34,0,0,1,0,0,0,8.58,8.58,0,0.344827586,7.35,y
Yamil Asad,DC,,5000,74,0,0,1,0,4,0,17,1,1,0,2,0,0,5.64,5.64,0,0.392156863,6.77,y
Adam Buksa,NE,,10400,90,0,0,4,1,0,0,11,3,1,0,0,0,0,7.72,7.72,0,0.344827586,6.49,y
Ulises Segura,DC,,4400,90,0,0,1,1,0,0,12,2,0,0,1,0,0,4.74,4.74,0,0.392156863,5.87,y
Donovan Pines,DC,,3600,90,0,0,2,0,0,0,37,1,1,0,2,0,0,4.24,4.24,0,0.392156863,5.37,y
Ola Kamara,DC,,7400,59,0,0,0,0,0,2,8,2,0,0,0,0,0,4.16,4.16,0.2,0.392156863,5.29,y
Brandon Bye,NE,,7200,63,0,0,0,0,5,2,25,0,1,1,1,1,0,7,5.5,0,0.344827586,4.27,y
Steve Birnbaum,DC,,4200,90,0,0,1,0,0,0,53,0,1,0,3,0,0,3.06,3.06,0,0.392156863,4.19,y
Christian Penilla,NE,,8200,74,0,0,2,0,5,0,16,0,1,0,0,0,0,5.32,5.32,0,0.344827586,4.09,y
Kevin Paredes,DC,,3000,74,0,0,0,0,2,0,13,1,2,0,1,0,0,2.16,2.16,0,0.392156863,3.29,y
Teal Bunbury,NE,,5600,64,0,0,0,0,0,1,16,1,0,1,2,0,0,4.32,4.32,0,0.344827586,3.09,y
Frederic Brillant,DC,,5400,86,0,0,1,0,0,0,45,0,1,0,1,0,0,1.9,1.90,0,0.392156863,3.03,y
Russell Canouse,DC,,3400,90,0,0,0,0,0,0,37,1,5,3,1,1,0,2.74,1.24,0,0.392156863,2.37,y
Bill Hamid,DC,GK,6800,90,0,0,0,0,0,0,21,0,0,0,0,0,0,0.42,0.42,0,0.392156863,1.55,y
Henry Kessler,NE,,3800,90,0,0,1,0,0,0,35,1,2,0,0,0,0,1.7,1.7,0,0.344827586,0.47,y
Edison Flores,DC,,10600,31,0,0,0,0,0,0,12,0,1,0,1,1,0,0.24,-1.26,0,0.392156863,-0.13,y
Andrew Farrell,NE,,3200,90,0,0,0,0,0,0,38,0,0,0,0,0,0,0.76,0.76,0,0.344827586,-0.47,y
Matt Turner,NE,GK,6000,90,0,0,0,0,0,0,35,0,0,0,0,0,0,0.7,0.7,0,0.344827586,-0.53,y
Matt Polster,NE,,7800,90,0,0,0,0,0,1,60,0,3,0,2,1,0,1.7,0.2,0.3,0.344827586,-1.03,y