Player,Team,Pos,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Salary,FPPG,FPPG/$1000,Floor,Floor/$1000,FPPG-Floor,Team_Odds,FPPG_w_Odds,FPPG_w_Odd_FullSeason,Diff,Floor_w_Odds,Starting
Ashley Young,INT,M,3.20,1,1,5,2,9,3,94,6,0,1,5,0,0,8800,13.65,1.55,8.65,0.98,5.00,0.48,13.17,11.89,1.28,8.17,y
Lautaro Martinez,INT,F,2.83,1,0,12,5,1,1,33,8,3,1,1,0,0,9800,13.19,1.35,9.66,0.99,3.53,0.48,12.71,14.92,-2.21,9.18,y
Moussa Diaby,LEV,M/F,4.03,2,0,10,3,28,10,126,1,2,0,2,0,0,9200,16.39,1.78,11.43,1.24,4.96,0.28,11.95,11.74,0.20,6.99,y
Danilo D'Ambrosio,INT,D,3.83,2,0,3,3,7,0,149,5,7,8,4,0,0,6000,11.84,1.97,6.62,1.10,5.22,0.48,11.36,6.39,4.97,6.14,y
Romelu Lukaku,INT,F,4.98,3,0,11,6,1,9,90,3,7,0,0,0,0,11600,11.65,1.00,5.63,0.48,6.03,0.48,11.18,13.78,-2.61,5.15,y
Kai Havertz,LEV,M,4.00,1,1,14,4,7,7,165,3,5,3,0,0,0,10400,13.18,1.27,9.18,0.88,4.00,0.28,8.73,10.66,-1.93,4.73,y
Nicolo Barella,INT,M,3.99,0,1,5,1,3,5,148,6,10,8,2,2,0,4000,7.29,1.82,5.78,1.45,1.50,0.48,6.81,8.01,-1.20,5.30,y
Kerem Demirbay,LEV,M,1.88,0,0,2,0,12,5,105,1,0,1,3,0,0,9400,11.18,1.19,11.18,1.19,0.00,0.28,6.74,12.73,-5.99,6.74,y
Marcelo Brozovic,INT,M,4.07,0,1,2,1,5,3,237,1,3,6,11,2,0,5400,6.94,1.29,5.47,1.01,1.48,0.48,6.47,8.99,-2.52,4.99,y
Alessandro Bastoni,INT,D,3.08,0,1,2,1,0,1,179,3,2,4,2,0,0,3600,6.69,1.86,4.74,1.32,1.95,0.48,6.21,4.86,1.35,4.26,y
Roberto Gagliardini,INT,M,3.83,0,1,3,0,0,2,133,8,9,6,7,1,0,5200,6.57,1.26,5.00,0.96,1.57,0.48,6.09,8.26,-2.16,4.53,y
Sven Bender,LEV,D,3.20,1,0,5,1,0,1,330,2,3,5,5,0,0,3800,9.88,2.60,6.75,1.78,3.13,0.28,5.43,3.89,1.54,2.31,y
Lars Bender,LEV,D,1.24,0,0,1,0,4,1,116,2,0,2,0,0,0,5000,8.94,1.79,8.94,1.79,0.00,0.28,4.49,6.47,-1.98,4.49,y
Kevin Volland,LEV,F,3.43,1,0,8,3,0,3,48,3,3,1,1,0,0,7800,8.14,1.04,5.23,0.67,2.91,0.28,3.70,10.49,-6.79,0.79,y
Diego Godin,INT,D,4.34,0,0,1,0,2,1,208,2,3,5,9,0,0,4400,4.04,0.92,4.04,0.92,0.00,0.48,3.57,4.97,-1.40,3.57,y
Daley Sinkgraven,LEV,D,2.17,0,0,0,0,8,2,139,1,3,5,5,1,0,4200,7.33,1.75,7.33,1.75,0.00,0.28,2.88,3.09,-0.21,2.88,y
Exequiel Palacios,LEV,M,0.96,0,0,0,0,0,1,59,2,0,2,1,0,0,3400,6.99,2.06,6.99,2.06,0.00,0.28,2.55,5.46,-2.91,2.55,y
Stefan de Vrij,INT,D,3.24,0,0,0,0,0,0,135,0,3,1,4,1,0,3200,0.83,0.26,0.83,0.26,0.00,0.48,0.36,4.35,-3.99,0.36,y
Edmond Tapsoba,LEV,D,3.69,0,0,1,0,0,0,352,0,3,5,4,1,0,3000,3.26,1.09,3.26,1.09,0.00,0.28,-1.18,1.40,-2.58,-1.18,y
Julian Baumgartlinger,LEV,M,3.14,0,0,1,0,0,2,158,6,10,1,1,1,0,4000,2.28,0.57,2.28,0.57,0.00,0.28,-2.17,4.19,-6.36,-2.17,y
Christian Eriksen,INT,M,1.83,1,0,6,3,21,4,93,0,0,1,0,0,0,9600,22.12,2.30,16.67,1.74,5.45,0.48,21.65,18.71,2.94,16.19,
Victor Moses,INT,M,1.20,0,1,1,0,6,2,51,3,3,2,0,0,0,6400,14.77,2.31,9.77,1.53,5.00,0.48,14.29,9.52,4.77,9.29,
Nadiem Amiri,LEV,M,1.71,0,0,5,3,13,8,67,5,1,1,0,0,0,7200,18.67,2.59,18.67,2.59,0.00,0.28,14.22,10.25,3.97,14.22,
Christiano Biraghi,INT,M,2.02,0,2,1,0,9,5,62,2,5,2,3,1,0,9000,13.37,1.49,7.44,0.83,5.93,0.48,12.90,12.85,0.04,6.96,
Mitchell Weiser,LEV,D,1.50,0,0,2,0,6,1,113,4,0,5,4,0,0,5800,13.64,2.35,13.64,2.35,0.00,0.28,9.20,5.60,3.60,9.20,
Alexis Sanchez,INT,M/F,2.17,1,0,3,2,3,2,56,3,6,1,2,1,0,9200,9.56,1.04,4.95,0.54,4.62,0.48,9.09,16.61,-7.52,4.47,
Antonio Candreva,INT,M/F,1.49,0,0,1,0,14,1,68,0,0,1,0,0,0,8200,9.51,1.16,9.51,1.16,0.00,0.48,9.03,15.51,-6.48,9.03,
Paulinho,LEV,M/F,0.98,0,0,1,0,5,2,37,3,0,1,1,0,0,6000,12.01,2.00,12.01,2.00,0.00,0.28,7.56,15.02,-7.46,7.56,
Leon Bailey,LEV,M/F,2.49,0,1,5,0,11,4,67,4,3,0,1,0,0,6600,10.86,1.65,8.45,1.28,2.41,0.28,6.42,13.99,-7.57,4.01,
Andrea Ranocchia,INT,D,1.76,0,0,3,0,0,0,92,2,3,6,4,1,0,3800,6.74,1.77,6.74,1.77,0.00,0.48,6.27,3.92,2.34,6.27,
Florian Wirtz,LEV,M,2.22,0,0,2,1,14,4,90,2,4,1,2,0,0,4800,9.27,1.93,9.27,1.93,0.00,0.28,4.83,5.54,-0.71,4.83,
Borja Velero,INT,M,1.28,0,0,1,0,0,1,50,2,3,2,2,0,0,4000,5.09,1.27,5.09,1.27,0.00,0.48,4.61,6.84,-2.23,4.61,
Charles Aranguiz,LEV,M,3.88,0,1,3,0,2,2,259,12,4,7,5,2,0,6400,8.79,1.37,7.24,1.13,1.55,0.28,4.34,5.66,-1.31,2.80,
Wendell,LEV,D,3.00,0,0,1,0,7,3,274,6,6,7,2,0,0,5400,8.46,1.57,8.46,1.57,0.00,0.28,4.02,4.79,-0.77,4.02,
Milan Skriniar,INT,D,0.86,0,0,0,0,0,0,54,1,1,1,2,0,0,3000,4.18,1.39,4.18,1.39,0.00,0.48,3.71,2.85,0.86,3.71,
Lucas Alario,LEV,F,1.38,0,0,8,2,1,1,11,1,3,0,0,2,0,8400,6.11,0.73,6.11,0.73,0.00,0.28,1.67,9.79,-8.13,1.67,
Jonathan Tah,LEV,D,2.80,0,0,0,0,1,0,235,1,6,4,3,1,0,3000,2.64,0.88,2.64,0.88,0.00,0.28,-1.80,0.80,-2.61,-1.80,
Aleksandar Dragovic,LEV,D,2.26,0,0,0,0,0,2,152,2,3,1,2,2,0,3000,2.01,0.67,2.01,0.67,0.00,0.28,-2.43,0.30,-2.74,-2.43,