Player,Team,Pos,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Salary,FPPG,FPPG/$1000,Floor,Floor/$1000,FPPG-Floor,Team_Odds,FPPG_w_Odds,Floor_w_Odds,Starting,FPPG_Odds_DK,,,,,,,
S. Blanco,POR,M/F,5,1,3,13,3,20,9,226,7,7,2,7,1,0,10800,15.80,1.46,10.20,0.94,5.60,0.64,17.23,11.63,y,17.23,,,,,,,
C. Mueller,ORL,M/F,3.9,4,0,12,7,9,7,90,4,1,1,2,0,0,8800,20.41,2.32,10.15,1.15,10.26,0.4,19.41,9.15,y,14.92,,,,,,,
D. Valeri,POR,M,3.8,3,0,5,2,17,11,141,0,3,1,1,1,0,11200,16.11,1.44,8.22,0.73,7.89,0.64,17.54,9.64,y,13.67,,,,,,,
J. Ebobisse,POR,F,2.3,3,0,8,4,1,3,43,2,2,0,1,0,0,8600,20.90,2.43,7.85,0.91,13.04,0.64,22.32,9.28,y,11.04,,,,,,,
Nani,ORL,M,3,1,2,7,3,16,7,113,5,1,0,0,0,0,11600,18.99,1.64,11.65,1.00,7.33,0.4,17.99,10.65,y,10.39,,,,,,,
Y. Chara,POR,M/F,3.1,0,0,6,4,3,3,122,7,0,5,2,0,0,7200,9.85,1.37,9.85,1.37,0.00,0.64,11.28,11.28,,7.54,,,,,,,
M. Pereyra,ORL,M,4,1,0,4,2,14,8,167,8,6,2,2,2,0,5800,10.54,1.82,8.04,1.39,2.50,0.4,9.54,7.04,y,7.43,,,,,,,
J. Moutinho,ORL,D,4.8,0,1,5,0,21,4,232,1,5,4,9,3,0,6000,7.68,1.28,6.43,1.07,1.25,0.4,6.68,5.43,y,6.37,,,,,,,
E. Williamson,POR,M,2,0,1,2,1,0,3,98,3,3,6,4,1,0,3400,10.98,3.23,7.98,2.35,3.00,0.64,12.41,9.41,y,5.82,,,,,,,
J. Villafana,POR,D,4,0,0,0,0,6,0,163,8,4,6,7,1,0,5000,5.37,1.07,5.37,1.07,0.00,0.64,6.79,6.79,y,5.72,,,,,,,
Ruan,ORL,D,4.2,0,0,0,0,16,3,175,7,4,7,1,1,0,5600,6.83,1.22,6.83,1.22,0.00,0.4,5.83,5.83,y,4.74,,,,,,,
J. Mendez,ORL,M,3.4,0,0,7,2,1,0,186,2,8,14,2,1,0,4600,7.33,1.59,7.33,1.59,0.00,0.4,6.33,6.33,y,3.98,,,,,,,
T. Akindele,ORL,F,3.4,1,0,4,2,2,1,78,3,2,1,1,0,0,5200,6.90,1.33,3.96,0.76,2.94,0.4,5.90,2.96,y,3.69,,,,,,,
M. Loria,POR,M,1.4,0,0,2,1,3,2,28,2,2,2,0,0,0,7800,7.61,0.98,7.61,0.98,0.00,0.64,9.04,9.04,y,3.56,,,,,,,
L. Mabiala,POR,D,4,0,0,0,0,0,0,153,3,2,5,4,1,0,3000,2.64,0.88,2.64,0.88,0.00,0.64,4.07,4.07,y,3.54,,,,,,,
C. Duvall,POR,D,3.1,0,0,0,0,5,0,103,2,3,3,8,2,0,4400,3.25,0.74,3.25,0.74,0.00,0.64,4.67,4.67,y,3.44,,,,,,,
D. Zuparic,POR,D,3.8,0,0,1,1,0,1,141,2,6,5,6,2,1,4000,1.79,0.45,1.79,0.45,0.00,0.64,3.22,3.22,y,2.79,,,,,,,
A. Carlos,ORL,D,5,0,0,2,1,1,0,188,3,6,2,7,0,0,4200,2.59,0.62,2.59,0.62,0.00,0.4,1.59,1.59,y,1.59,,,,,,,
R. Jansson,ORL,D,5,0,0,1,1,0,0,175,6,1,0,3,1,0,3800,2.20,0.58,2.20,0.58,0.00,0.4,1.20,1.20,y,1.20,,,,,,,
O. Rosell,ORL,M,2.7,0,0,0,0,0,0,145,1,7,5,4,2,0,3200,1.63,0.51,1.63,0.51,0.00,0.4,0.63,0.63,y,-0.12,,,,,,,
D. Chara,POR,M,5,0,0,0,0,0,1,249,12,13,11,11,3,0,3600,4.70,1.30,4.70,1.30,0.00,0.64,6.12,6.12,,6.12,,,,,,,
B. Tuiloma,POR,D,2.1,0,1,2,1,0,1,60,3,2,1,4,0,0,3400,7.71,2.27,4.86,1.43,2.86,0.64,9.14,6.29,,4.67,,,,,,,
A. Polo,POR,M/F,2.1,0,1,1,0,2,1,66,3,3,1,4,0,0,4800,7.25,1.51,4.39,0.91,2.86,0.64,8.68,5.82,,4.47,,,,,,,
J. Niezgoda,POR,F,1,1,0,1,1,0,0,21,1,0,0,0,0,0,7000,13.42,1.92,3.42,0.49,10.00,0.64,14.85,4.85,,4.11,,,,,,,
F. Mora,POR,F,2,0,0,2,1,1,2,44,5,1,0,2,0,0,7600,6.04,0.79,6.04,0.79,0.00,0.64,7.47,7.47,,3.84,,,,,,,
J. Urso,ORL,M,3.9,0,0,6,2,0,1,132,7,5,3,6,0,0,4400,5.68,1.29,5.68,1.29,0.00,0.4,4.68,4.68,,3.43,,,,,,,
P. Bonilla,POR,D,0.9,0,0,0,0,0,1,32,3,1,3,1,0,0,3200,8.49,2.65,8.49,2.65,0.00,0.64,9.92,9.92,,2.96,,,,,,,
A. Perea,ORL,M,1.3,0,1,3,1,2,3,34,1,1,2,2,0,0,5400,14.29,2.65,9.68,1.79,4.62,0.4,13.29,8.68,,2.72,,,,,,,
C. Paredes,POR,M,2,0,0,3,1,0,1,39,2,5,1,5,2,0,4800,2.89,0.60,2.89,0.60,0.00,0.64,4.32,4.32,,2.58,,,,,,,
M. Farfan,POR,D,1,0,0,0,0,0,0,38,0,1,3,1,0,0,3200,3.76,1.18,3.76,1.18,0.00,0.64,5.19,5.19,,2.18,,,,,,,
S. Clark,POR,GK,5,0,0,0,0,0,0,146,0,0,0,0,0,0,6400,0.58,0.09,0.58,0.09,0.00,0.64,2.01,2.01,,2.01,,,,,,,
B. Michel,ORL,F,2,0,0,1,1,3,3,29,3,0,1,0,0,0,7400,5.84,0.79,5.84,0.79,0.00,0.4,4.84,4.84,,1.34,,,,,,,
K. Smith,ORL,D,0.8,0,0,1,1,5,1,33,0,1,3,1,0,0,3000,12.70,4.23,12.70,4.23,0.00,0.4,11.70,11.70,,1.03,,,,,,,
D. Dwyer,ORL,F,1.4,0,1,2,0,0,1,14,1,7,0,1,0,0,5000,5.20,1.04,0.91,0.18,4.29,0.4,4.20,-0.09,,0.46,,,,,,,
Robinho,ORL,M/F,0.3,0,0,0,0,3,1,8,1,1,0,0,0,0,4200,12.53,2.98,12.53,2.98,0.00,0.4,11.53,11.53,,-0.25,,,,,,,
R. Schlegel,ORL,D,1,0,0,0,0,0,0,43,1,2,2,0,1,0,3000,1.36,0.45,1.36,0.45,0.00,0.4,0.36,0.36,,-0.73,,,,,,,
P. Gallese,ORL,GK,5,0,0,0,0,0,0,93,0,0,0,0,1,0,6600,0.07,0.01,0.07,0.01,0.00,0.4,-0.93,-0.93,,-0.93,,,,,,,
S. Patino,ORL,F,0.1,0,0,0,0,0,0,2,0,0,0,0,0,0,4600,0.40,0.09,0.40,0.09,0.00,0.4,-0.60,-0.60,,-0.99,,,,,,,