Player,Team,Pos,90s,Gls,Ast,Sh,SoT,Crs,PassLive,PassDead,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Salary,FPPG,FPPG/$1000,Floor,FPPG-Floor,Opp_Def_OPRK,Starting
Sebastián Blanco\Sebastian-Blanco,POR,FWMF,5,1,3,13,3,20,15,0,226,7,7,2,7,1,0,10600,17,1.6,11.4,5.6,22,y
Yimmi Chará\Yimmi-Chara,POR,FW,3.1,0,0,6,4,3,7,0,122,7,0,5,2,0,0,7400,11.1,1.51,11.14,0,22,
Eryk Williamson\Eryk-Williamson,POR,MF,2,0,1,2,1,0,7,0,98,3,3,6,4,1,0,3000,13,4.33,9.98,3,22,y
Diego Valeri\Diego-Valeri,POR,MFFW,3.8,3,0,5,2,17,10,6,141,0,3,1,1,1,0,11000,17.4,1.58,9.53,7.89,22,y
Kacper Przybyłko\Kacper-Przybylko,PHI,FW,5,1,0,11,6,8,10,0,103,9,4,1,1,0,0,8400,10.6,1.27,8.63,2,22,y
Jamiro Monteiro\Jamiro-Monteiro,PHI,MF,5,0,1,5,2,18,7,4,183,6,11,8,3,1,0,8200,9.8,1.19,8.55,1.2,18,y
Marvin Loría\Marvin-Loria,POR,FWMF,1.4,0,0,2,1,3,3,0,28,2,2,2,0,0,0,7600,8.3,1.1,8.33,0,22,y
Jeremy Ebobisse\Jeremy-Ebobisse,POR,FW,2.3,3,0,8,4,1,4,0,43,2,2,0,1,0,0,9000,21.3,2.37,8.29,13.04,22,y
Brenden Aaronson\Brenden-Aaronson,PHI,MF,4.8,1,1,6,2,14,6,1,86,6,4,7,1,0,0,7800,11.3,1.44,7.92,3.33,18,y
Pablo Bonilla\Pablo-Bonilla,POR,DF,0.9,0,0,0,0,0,1,0,32,3,1,3,1,0,0,4800,7.6,1.59,7.64,0,22,
Alejandro Bedoya\Alejandro-Bedoya,PHI,MF,5,1,1,8,2,7,13,0,182,3,6,7,4,2,0,6200,10.7,1.73,7.51,3.2,18,y
Felipe Mora\Felipe-Mora,POR,FW,2,0,0,2,1,1,4,0,44,5,1,0,2,0,0,8000,7,0.88,7.04,0,22,
Sergio Santos Gomes\Sergio-Santos-Gomes,PHI,FW,4.2,3,0,9,5,4,8,1,40,2,12,4,3,0,0,10200,13.8,1.36,6.69,7.14,18,y
Ray Gaddis\Ray-Gaddis,PHI,DF,3.3,0,0,2,0,9,2,0,152,6,3,3,3,1,0,4400,6.3,1.44,6.32,0,18,y
Jorge Villafaña\Jorge-Villafana,POR,DF,4,0,0,0,0,6,0,0,163,8,4,6,7,1,0,5400,5.4,0.99,5.37,0,22,y
Bill Tuiloma\Bill-Tuiloma,POR,DF,2.1,0,1,2,1,0,2,0,60,3,2,1,4,0,0,3400,8.2,2.41,5.33,2.86,22,
Jack Elliott\Jack-Elliott,PHI,DF,0.7,0,0,1,0,0,0,0,61,0,2,3,2,0,0,3000,5.2,1.74,5.22,0,18,y
Diego Chará\Diego-Chara,POR,MF,5,0,0,0,0,0,2,0,249,12,13,11,11,3,0,3200,4.9,1.53,4.9,0,22,y
Andy Polo\Andy-Polo,POR,MFFW,2.1,0,1,1,0,2,2,0,66,3,3,1,4,0,0,5000,7.7,1.54,4.87,2.86,22,
Kai Wagner\Kai-Wagner,PHI,DF,5,1,0,3,1,9,3,0,101,1,2,3,3,0,0,6000,6,0.99,3.96,2,18,y
Marco Farfan\Marco-Farfan,POR,DF,1,0,0,0,0,0,0,0,38,0,1,3,1,0,0,3000,3.8,1.25,3.76,0,22,
Jarosław Niezgoda\Jaroslaw-Niezgoda,POR,FW,1,1,0,1,1,0,0,0,21,1,0,0,0,0,0,7200,13.4,1.86,3.42,10,22,
Ilsinho\Ilsinho,PHI,FWMF,2.6,1,0,1,1,1,3,0,81,2,1,0,0,0,0,5600,7.2,1.29,3.39,3.85,18,
Chris Duvall\Chris-Duvall,POR,DF,3.1,0,0,0,0,5,0,0,103,2,3,3,8,2,0,4000,3.2,0.81,3.25,0,22,y
José Martínez\Jose-Martinez,PHI,MF,5,0,0,3,1,0,0,0,90,4,7,10,8,3,0,3600,3.2,0.88,3.16,0,18,y
Mark McKenzie\Mark-McKenzie,PHI,DF,4.9,0,0,3,1,1,0,0,114,1,5,8,4,0,0,3800,3.2,0.83,3.16,0,18,y
Cristhian Paredes\Cristhian-Paredes,POR,MF,2,0,0,3,1,0,1,0,39,2,5,1,5,2,0,4800,2.9,0.6,2.89,0,22,
Larrys Mabiala\Larrys-Mabiala,POR,DF,4,0,0,0,0,0,1,0,153,3,2,5,4,1,0,4000,2.9,0.72,2.89,0,22,y
Dairon Asprilla\Dairon-Asprilla,POR,FW,0.2,0,0,0,0,1,0,0,4,1,1,1,1,0,0,6600,2.8,0.42,2.78,0,22,
Matthew Real\Matthew-Real,PHI,DF,2.9,0,0,1,0,7,1,0,42,0,2,1,3,1,0,3800,2.7,0.7,2.67,0,18,
Andre Blake\Andre-Blake,PHI,GK,2.1,0,0,0,0,0,0,0,81,2,0,1,0,0,0,6400,2.2,0.34,2.2,0,18,y
Dario Župarić\Dario-Zuparic,POR,DF,3.8,0,0,1,1,0,1,0,141,2,6,5,6,2,1,3400,1.8,0.53,1.79,0,22,y
Jakob Glesnes\Jakob-Glesnes,PHI,DF,2,1,0,2,1,0,1,0,71,0,4,2,3,3,0,3200,6.2,1.94,1.21,5,18,
Steve Clark\Steve-Clark,POR,GK,5,0,0,0,0,0,1,0,146,0,0,0,0,0,0,6800,0.8,0.12,0.78,0,22,y
Anthony Fontana\Anthony-Fontana,PHI,FWMF,5,0,0,0,0,0,1,0,23,2,3,2,0,1,0,5200,0.5,0.09,0.49,0,18,
Jack De Vries\Jack-De-Vries,PHI,FW,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3800,0.4,0.09,0.35,0,18,