Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,FPPG,FPP90,Floor,Floor90,FPPG-Floor,FPP90-Floor90,Team_Odds,FPPG_w_Odds,FPPG/$1000,Floor_w_Odds,Floor/$1000,FPP90_w_Odds,FPP90/$1000,Floor90_w_Odds,Floor90/$1000,Goal_Odds,Pts_w_GOdds,Starting
K. Mbappe,PSG,F,12800,2.00,2,2,14,7,8,7,66,3,1,4,1,1,0,14.48,36.21,8.08,20.21,6.40,16.00,0.54,14.92,1.17,8.52,0.67,36.64,2.86,20.64,1.61,0.56,32.20,y
Neymar,PSG,M/F,12400,4.33,2,1,17,7,9,9,189,21,2,1,1,1,0,17.82,20.56,12.62,14.56,5.20,6.00,0.54,18.25,1.47,13.05,1.05,20.99,1.69,14.99,1.21,0.50,21.38,y
A. Di Maria,PSG,M/F,10000,3.38,0,1,6,5,12,6,101,4,2,1,1,2,0,6.98,10.34,5.78,8.56,1.20,1.78,0.54,7.42,0.74,6.22,0.62,10.77,1.08,9.00,0.90,0.31,13.90,y
D. Olmo,RBL,M,8200,3.84,3,0,11,4,9,4,123,10,6,9,1,0,0,14.85,19.32,8.85,11.51,6.00,7.80,0.22,12.05,1.47,6.05,0.74,16.51,2.01,8.71,1.06,0.27,11.38,y
M. Sabitzer,RBL,M,9400,3.16,0,2,3,0,5,5,120,7,3,3,3,0,0,7.18,11.38,4.78,7.57,2.40,3.80,0.22,4.38,0.47,1.98,0.21,8.57,0.91,4.77,0.51,0.27,11.24,y
C. Nkunku,RBL,M/F,6600,2.16,0,0,3,1,9,5,70,3,2,2,1,1,0,3.94,9.14,3.94,9.14,0.00,0.00,0.22,1.14,0.17,1.14,0.17,6.34,0.96,6.34,0.96,0.25,8.84,y
Angelino,RBL,M,7000,5.00,0,2,2,1,26,6,257,6,7,1,8,2,0,9.77,9.77,7.37,7.37,2.40,2.40,0.22,6.97,1.00,4.57,0.65,6.97,1.00,4.57,0.65,0.13,8.22,y
L. Paredes,PSG,M,4800,2.57,0,0,1,1,0,5,195,7,6,2,1,3,0,2.58,5.03,2.58,5.03,0.00,0.00,0.54,3.01,0.63,3.01,0.63,5.46,1.14,5.46,1.14,0.22,7.68,y
J. Bernat,PSG,D,6200,3.00,1,0,3,2,3,3,237,2,6,6,2,3,0,5.27,8.78,3.27,5.45,2.00,3.33,0.54,5.70,0.92,3.70,0.60,9.21,1.49,5.88,0.95,0.13,7.13,y
P. Kimpembe,PSG,D,3800,4.33,0,0,0,0,0,0,338,6,5,8,6,0,0,4.25,4.91,4.25,4.91,0.00,0.00,0.54,4.69,1.23,4.69,1.23,5.34,1.41,5.34,1.41,0.08,6.17,y
N. Mukiele,RBL,D,4400,3.01,0,0,3,0,4,2,123,5,5,9,5,1,0,4.55,7.56,4.55,7.56,0.00,0.00,0.22,1.75,0.40,1.75,0.40,4.76,1.08,4.76,1.08,0.13,6.01,y
T. Silva,PSG,D,3200,3.00,0,0,1,0,0,2,162,5,5,4,4,1,0,2.65,4.41,2.65,4.41,0.00,0.00,0.54,3.08,0.96,3.08,0.96,4.85,1.52,4.85,1.52,0.07,5.51,y
T. Kehrer,PSG,D,4200,3.78,0,0,3,1,3,0,179,4,3,1,3,0,0,2.94,3.89,2.94,3.89,0.00,0.00,0.54,3.37,0.80,3.37,0.80,4.32,1.03,4.32,1.03,0.11,5.43,y
A. Herrera,PSG,M,3600,1.49,0,0,0,0,0,1,63,5,4,1,3,2,0,0.95,3.20,0.95,3.20,0.00,0.00,0.54,1.39,0.39,1.39,0.39,3.63,1.01,3.63,1.01,0.11,4.74,y
D. Upamecano,RBL,D,3000,3.50,0,1,2,2,0,1,258,1,5,4,9,0,0,4.63,6.62,3.43,4.90,1.20,1.71,0.22,1.83,0.61,0.63,0.21,3.81,1.27,2.10,0.70,0.07,4.48,y
Marquinhos,PSG,M,4800,5.26,1,1,3,1,0,1,301,5,12,3,6,3,0,5.50,5.24,2.30,2.19,3.20,3.04,0.54,5.94,1.24,2.74,0.57,5.67,1.18,2.63,0.55,0.07,4.44,y
K. Kampl,RBL,M,5400,3.61,1,0,3,2,2,3,233,0,6,7,6,2,0,5.61,7.77,3.61,5.00,2.00,2.77,0.22,2.81,0.52,0.81,0.15,4.97,0.92,2.20,0.41,0.20,4.20,y
Y. Poulsen,RBL,F,6000,1.00,0,0,1,0,1,0,21,1,2,0,0,0,0,0.42,2.12,0.42,2.12,0.00,0.00,0.22,-2.38,-0.40,-2.38,-0.40,-0.68,-0.11,-0.68,-0.11,0.35,2.80,y
K. Laimer,RBL,M,4400,1.97,0,0,0,0,6,1,105,2,10,2,1,0,0,1.36,3.46,1.36,3.46,0.00,0.00,0.22,-1.44,-0.33,-1.44,-0.33,0.66,0.15,0.66,0.15,0.15,2.19,y
L. Klostermann,RBL,D,4000,3.50,0,0,1,1,2,1,210,0,5,1,4,2,0,1.22,1.74,1.22,1.74,0.00,0.00,0.22,-1.58,-0.40,-1.58,-0.40,-1.06,-0.26,-1.06,-0.26,0.10,-0.06,y
E. Choupo-Moting,PSG,M/F,7000,0.13,1,0,2,1,0,0,2,0,0,0,0,0,0,2.61,97.80,0.61,22.80,2.00,75.00,0.54,3.04,0.43,1.04,0.15,98.23,14.03,23.23,3.32,0.42,27.40,
J. Draxler,PSG,M,6400,1.03,0,1,4,2,2,3,48,1,1,0,2,0,0,3.77,18.25,2.57,12.45,1.20,5.81,0.54,4.21,0.66,3.01,0.47,18.69,2.92,12.88,2.01,0.31,21.81,
P. Sarabia,PSG,M,8000,3.70,1,1,7,3,15,8,100,9,2,3,1,0,0,11.60,15.68,8.40,11.35,3.20,4.32,0.54,12.03,1.50,8.83,1.10,16.11,2.01,11.79,1.47,0.27,16.07,
A. Haidara,RBL,M,3600,1.48,0,1,3,1,1,5,99,2,4,3,0,1,0,3.84,12.98,2.64,8.92,1.20,4.06,0.22,1.03,0.29,-0.17,-0.05,10.18,2.83,6.12,1.70,0.15,11.72,
A. Lookman,RBL,F,4600,0.42,0,0,3,1,0,1,16,0,2,0,0,0,0,0.86,10.23,0.86,10.23,0.00,0.00,0.22,-1.94,-0.42,-1.94,-0.42,7.43,1.62,7.43,1.62,0.27,10.10,
M. Icardi,PSG,F,7600,2.72,1,0,4,2,1,0,24,3,1,0,1,0,0,4.04,7.41,2.04,3.74,2.00,3.67,0.54,4.47,0.59,2.47,0.33,7.85,1.03,4.17,0.55,0.48,8.94,
E. Forsberg,RBL,M,7800,2.13,0,0,6,2,3,5,86,1,1,2,0,0,0,3.86,9.06,3.86,9.06,0.00,0.00,0.22,1.06,0.14,1.06,0.14,6.25,0.80,6.25,0.80,0.27,8.92,
M. Verratti,PSG,M,5600,1.51,0,0,0,0,1,1,105,5,0,3,1,1,0,2.16,7.15,2.16,7.15,0.00,0.00,0.54,2.59,0.46,2.59,0.46,7.58,1.35,7.58,1.35,0.11,8.69,
C. Dagba,PSG,D,3000,0.79,0,0,0,0,3,0,44,0,0,2,1,0,0,1.10,6.95,1.10,6.95,0.00,0.00,0.54,1.53,0.51,1.53,0.51,7.38,2.46,7.38,2.46,0.07,8.05,
I. Gueye,PSG,M,3400,4.42,0,0,2,1,2,3,269,6,7,9,5,0,0,5.36,6.06,5.36,6.06,0.00,0.00,0.54,5.79,1.70,5.79,1.70,6.49,1.91,6.49,1.91,0.07,7.16,
L. Kurzawa,PSG,D,4000,0.90,0,0,0,0,1,0,33,1,1,1,2,0,0,0.77,4.29,0.77,4.29,0.00,0.00,0.54,1.21,0.30,1.21,0.30,4.72,1.18,4.72,1.18,0.17,6.39,
M. Bakker,PSG,D,3000,2.33,0,0,0,0,3,1,112,1,4,8,0,1,0,2.17,4.65,2.17,4.65,0.00,0.00,0.54,2.60,0.87,2.60,0.87,5.08,1.69,5.08,1.69,0.11,6.19,
T. Adams,RBL,M,4200,2.92,1,0,3,1,1,2,175,3,4,3,4,0,0,5.24,8.97,3.24,5.54,2.00,3.42,0.22,2.44,0.58,0.44,0.10,6.16,1.47,2.74,0.65,0.15,4.28,
P. Schick,RBL,F,6800,2.33,0,0,8,1,0,2,31,0,2,0,1,1,0,1.92,4.12,1.92,4.12,0.00,0.00,0.22,-0.88,-0.13,-0.88,-0.13,1.32,0.19,1.32,0.19,0.29,4.26,
M. Halstenberg,RBL,D,4600,5.00,0,1,6,1,2,4,371,1,5,2,4,0,0,5.66,5.66,4.46,4.46,1.20,1.20,0.22,2.86,0.62,1.66,0.36,2.86,0.62,1.66,0.36,0.13,4.11,
I. Konate,RBL,D,3000,1.32,0,0,0,0,0,1,70,2,0,2,0,0,0,1.28,4.84,1.28,4.84,0.00,0.00,0.22,-1.52,-0.51,-1.52,-0.51,2.04,0.68,2.04,0.68,0.06,2.63,
A. Diallo,PSG,D,3200,0.08,0,0,0,0,0,0,5,0,0,0,0,0,0,0.02,1.29,0.02,1.29,0.00,0.00,0.54,0.45,0.14,0.45,0.14,1.72,0.54,1.72,0.54,0.07,2.39,
D. Borkowski,RBL,F,4000,0.10,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00,0.20,0.00,0.20,0.00,0.00,0.22,-2.80,-0.70,-2.80,-0.70,-2.60,-0.65,-2.60,-0.65,0.29,0.34,
K. Navas,PSG,GK,7400,5.20,0,0,0,0,0,0,113,0,0,0,0,0,0,0.45,0.43,0.45,0.43,0.00,0.00,0.54,0.89,0.12,0.89,0.12,0.87,0.12,0.87,0.12,,,
P. Gulacsi,RBL,GK,5000,4.00,0,0,0,0,0,0,154,1,0,0,0,0,0,0.82,1.02,0.82,1.02,0.00,0.00,0.22,6.95,1.39,6.04,1.21,6.95,1.39,6.04,1.21,,6.04,y
S. Rico,PSG,GK,7200,0.13,0,0,0,0,0,0,3,0,0,0,0,0,0,0.01,0.45,0.01,0.45,0.00,0.00,0.54,6.34,0.88,4.78,0.66,6.34,0.88,4.78,0.66,,4.78,y
Y. Mvogo,RBL,GK,4800,1.00,0,0,0,0,0,0,32,0,0,0,0,0,0,0.13,0.64,0.13,0.64,0.00,0.00,0.22,6.34,1.32,-2.67,4.78,6.34,1.32,4.78,1.00,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,