Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,FPPG,FPPG/$1000,FPP90,FPP90/$1000,Floor,Floor/$1000,Floor90,Floor90/$1000,FPPG-Floor,FPP90-Floor90,Team_Odds,FPPG_w_Odds,Floor_w_Odds,FPP90_w_Odds,Floor90_w_Odds,Starting,
Y. Carrasco,ATL,M,5400,2.78,0,2,6,0,9,6,71,9,2,5,2,1,0,8.84,1.64,15.92,2.95,6.44,1.19,11.60,2.15,2.40,4.32,0.54,9.25,6.85,16.32,12.00,y,
D. Olmo,RBL,M,8200,3.64,2,0,11,4,9,4,121,10,3,9,2,0,0,13.24,1.62,18.17,2.22,9.24,1.13,12.68,1.55,4.00,5.49,0.27,10.95,6.95,15.87,10.39,y,
D. Costa,ATL,F,6800,2.37,1,0,9,2,0,1,54,5,4,2,1,2,0,5.12,0.75,10.81,1.59,3.12,0.46,6.58,0.97,2.00,4.23,0.54,5.52,3.52,11.21,6.99,y,
R. Lodi,ATL,D,8800,3.08,0,0,4,0,12,2,98,6,3,7,7,1,0,5.97,0.68,9.70,1.10,5.97,0.68,9.70,1.10,0.00,0.00,0.54,6.38,6.38,10.11,10.11,y,
M. Llorente,ATL,M,3800,3.92,1,1,6,1,2,8,89,3,4,2,1,0,0,7.54,1.98,9.61,2.53,4.34,1.14,5.53,1.45,3.20,4.08,0.54,7.94,4.74,10.01,5.93,y,
Saul,ATL,M,4600,4.21,2,0,2,2,2,1,171,1,11,11,7,3,0,7.06,1.54,8.39,1.82,3.06,0.67,3.64,0.79,4.00,4.75,0.54,7.47,3.47,8.79,4.04,y,
Koke,ATL,M,6400,4.00,1,0,4,2,3,1,192,4,3,6,4,0,0,6.69,1.05,8.36,1.31,4.69,0.73,5.86,0.92,2.00,2.50,0.54,7.09,5.09,8.77,6.27,y,
M. Sabitzer,RBL,M,11000,2.17,0,1,2,0,4,4,64,5,2,2,1,0,0,4.52,0.41,10.42,0.95,3.32,0.30,7.65,0.70,1.20,2.77,0.27,2.22,1.02,8.12,5.36,y,
K. Trippier,ATL,D,7000,1.46,0,0,0,0,4,3,73,0,0,2,1,0,0,1.95,0.28,6.71,0.96,1.95,0.28,6.71,0.96,0.00,0.00,0.54,2.36,2.36,7.11,7.11,y,
C. Nkunku,RBL,M/F,7800,1.88,0,0,4,2,6,2,55,3,2,2,1,1,0,3.26,0.42,8.68,1.11,3.26,0.42,8.68,1.11,0.00,0.00,0.27,0.96,0.96,6.38,6.38,y,
Angelino,RBL,D,8000,5.00,0,1,2,1,25,8,263,5,6,1,5,2,0,8.45,1.06,8.45,1.06,7.25,0.91,7.25,0.91,1.20,1.20,0.27,6.15,4.95,6.15,4.95,y,
K. Kampl,RBL,M,6000,3.57,1,0,2,2,2,3,211,1,6,4,7,1,0,5.32,0.89,7.46,1.24,3.32,0.55,4.66,0.78,2.00,2.80,0.27,3.03,1.03,5.17,2.36,y,
K. Laimer,RBL,M,5200,1.47,0,0,0,0,2,1,64,4,7,4,2,0,0,1.84,0.35,6.26,1.20,1.84,0.35,6.26,1.20,0.00,0.00,0.27,-0.46,-0.46,3.96,3.96,y,
M. Halstenberg,RBL,D,3400,4.50,0,1,4,1,2,4,307,2,5,1,5,0,0,5.11,1.50,5.68,1.67,3.91,1.15,4.34,1.28,1.20,1.33,0.27,2.81,1.61,3.38,2.04,y,
J. Gimenez,ATL,D,3200,4.00,0,0,2,0,0,0,146,2,4,0,5,2,0,0.88,0.28,1.11,0.35,0.88,0.28,1.11,0.35,0.00,0.00,0.54,1.29,1.29,1.51,1.51,y,
S. Savic,ATL,D,3800,3.00,0,0,1,0,0,0,127,0,2,1,2,1,0,0.61,0.16,1.01,0.27,0.61,0.16,1.01,0.27,0.00,0.00,0.54,1.01,1.01,1.42,1.42,y,
D. Upamecano,RBL,D,3000,2.97,0,1,0,0,0,1,223,0,7,2,6,2,0,1.99,0.66,3.36,1.12,0.79,0.26,1.33,0.44,1.20,2.02,0.27,-0.31,-1.51,1.06,-0.96,y,
H. Herrera,ATL,M,4000,0.33,0,0,0,0,0,0,45,0,1,1,0,1,0,-0.02,-0.01,-0.30,-0.08,-0.02,-0.01,-0.30,-0.08,0.00,0.00,0.54,0.39,0.39,0.11,0.11,y,
L. Klostermann,RBL,D,3200,3.50,0,0,1,1,1,0,175,0,3,0,1,1,0,0.74,0.23,1.06,0.33,0.74,0.23,1.06,0.33,0.00,0.00,0.27,-1.56,-1.56,-1.24,-1.24,y,
Vitolo,ATL,M,4800,1.29,0,1,1,1,1,3,62,7,2,4,1,0,0,4.69,0.98,18.19,3.79,3.49,0.73,13.53,2.82,1.20,4.66,0.54,5.09,3.89,18.59,13.94,,
A. Morata,ATL,F,9800,2.59,3,0,5,2,0,1,35,4,3,2,0,0,0,8.64,0.88,16.69,1.70,2.64,0.27,5.10,0.52,6.00,11.59,0.54,9.05,3.05,17.09,5.50,,
T. Lemar,ATL,M,4200,0.34,0,0,2,1,1,1,18,1,1,1,0,1,0,1.01,0.24,14.69,3.50,1.01,0.24,14.69,3.50,0.00,0.00,0.54,1.42,1.42,15.10,15.10,,
T. Partey,ATL,M,4600,3.13,1,0,5,2,1,2,126,4,6,9,7,0,0,7.14,1.55,11.40,2.48,5.14,1.12,8.21,1.78,2.00,3.19,0.54,7.55,5.55,11.81,8.61,,
A. Haidara,RBL,M,3800,1.76,0,1,4,1,1,5,108,2,4,3,1,0,0,4.47,1.18,12.74,3.35,3.27,0.86,9.32,2.45,1.20,3.42,0.27,2.17,0.97,10.44,7.02,,
J. Felix,ATL,M/F,10600,0.83,0,0,4,1,0,2,20,0,2,0,3,0,0,1.58,0.15,9.48,0.89,1.58,0.15,9.48,0.89,0.00,0.00,0.54,1.99,1.99,9.89,9.89,,
A. Lookman,RBL,F,4800,0.42,0,0,3,1,0,1,16,0,2,0,0,0,0,0.86,0.18,10.23,2.13,0.86,0.18,10.23,2.13,0.00,0.00,0.27,-1.43,-1.43,7.93,7.93,,
P. Schick,RBL,F,7400,2.74,1,0,11,3,0,2,35,1,2,0,0,1,0,5.04,0.68,9.18,1.24,3.04,0.41,5.54,0.75,2.00,3.64,0.27,2.74,0.74,6.88,3.24,,
S. Arias,ATL,D,4200,3.54,0,0,1,0,4,2,173,4,1,6,8,0,0,4.55,1.08,6.42,1.53,4.55,1.08,6.42,1.53,0.00,0.00,0.54,4.96,4.96,6.83,6.83,,
E. Forsberg,RBL,M,8400,2.13,0,0,6,2,3,5,86,1,1,2,0,0,0,3.86,0.46,9.06,1.08,3.86,0.46,9.06,1.08,0.00,0.00,0.27,1.57,1.57,6.76,6.76,,
A. Correa,ATL,F,4400,3.72,0,0,3,1,5,6,95,5,4,1,4,0,0,4.28,0.97,5.75,1.31,4.28,0.97,5.75,1.31,0.00,0.00,0.54,4.69,4.69,6.15,6.15,,
M. Sanchez,ATL,D,4000,1.92,0,0,0,0,2,1,67,2,4,5,4,0,0,2.15,0.54,5.59,1.40,2.15,0.54,5.59,1.40,0.00,0.00,0.54,2.55,2.55,5.99,5.99,,
N. Mukiele,RBL,D,5400,4.00,0,0,4,0,6,2,157,6,7,13,11,1,0,6.57,1.22,8.21,1.52,6.57,1.22,8.21,1.52,0.00,0.00,0.27,4.27,4.27,5.91,5.91,,
I. Konate,RBL,D,3000,1.32,0,0,0,0,0,1,70,2,0,2,0,0,0,1.28,0.43,4.84,1.61,1.28,0.43,4.84,1.61,0.00,0.00,0.27,-1.02,-1.02,2.54,2.54,,
T. Adams,RBL,M,3800,3.71,0,0,2,0,1,2,209,2,2,4,4,0,0,3.18,0.84,4.28,1.13,3.18,0.84,4.28,1.13,0.00,0.00,0.27,0.88,0.88,1.98,1.98,,
Felipe,ATL,D,3600,2.33,0,0,0,0,0,0,56,0,4,2,6,1,0,0.52,0.15,1.12,0.31,0.52,0.15,1.12,0.31,0.00,0.00,0.54,0.93,0.93,1.53,1.53,,
J. Oblak,ATL,GK,7200,5.00,0,0,0,0,0,0,77,0,0,0,0,0,0,0.31,0.04,0.31,0.04,0.31,0.04,0.31,0.04,0.00,0.00,0.54,0.71,0.71,0.71,0.71,,
P. Gulacsi,RBL,GK,5800,4.00,0,0,0,0,0,0,162,0,0,0,0,0,0,0.65,0.11,0.81,0.14,0.65,0.11,0.81,0.14,0.00,0.00,0.27,-1.65,-1.65,-1.49,-1.49,,