player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Aaron Herrera,RSL,D,5200,450,0,0,5,1,16,7,220,4,5,8,9,0,0.2,0.4,DELETE,DELETE,DELETE
Adrien Perez,LAFC,F,7200,39,0,0,1,0,0,0,11,0,0,2,0,0,0.5,0,DELETE,DELETE,DELETE
Albert Rusnak,RSL,M,9200,450,2,1,11,2,9,15,171,7,5,4,0,0,2.7,1,DELETE,DELETE,DELETE
Andrew Putna,RSL,GK,5600,450,0,0,0,0,0,0,88,2,0,0,0,0,0,0,DELETE,DELETE,DELETE
Andy Najar,LAFC,M,3600,123,0,0,0,0,4,2,83,1,4,1,2,1,0,0,DELETE,DELETE,DELETE
Bradley Wright-Phillips,LAFC,F,8400,273,3,2,8,4,0,2,37,2,5,3,2,0,1.3,0.2,DELETE,DELETE,DELETE
Brian Rodriguez,LAFC,M/F,10400,417,0,2,13,5,25,14,122,5,6,4,3,0,1.4,1.6,DELETE,DELETE,DELETE
Bryce Duke,LAFC,M,3200,64,0,0,0,0,2,0,34,1,2,0,2,0,0,0,DELETE,DELETE,DELETE
Christian Torres,LAFC,F,4000,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,DELETE,DELETE,DELETE
Christopher Garcia,RSL,F,3800,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,DELETE,DELETE,DELETE
Corey Baird,RSL,M,8000,255,0,0,6,0,4,2,57,3,6,1,1,2,0.4,0.1,DELETE,DELETE,DELETE
Damir Kreilach,RSL,M,8800,429,2,0,13,4,0,4,141,10,6,4,1,1,1.6,0.3,DELETE,DELETE,DELETE
Daniel Musovski,LAFC,F,4600,154,1,0,5,4,1,2,28,0,3,0,0,0,0.9,0.3,DELETE,DELETE,DELETE
Dejan Jakovic,LAFC,D,3400,416,1,0,1,1,0,3,263,2,1,7,4,0,0.1,0.1,DELETE,DELETE,DELETE
Diego Palacios,LAFC,D,5800,325,0,0,0,0,14,2,198,8,6,13,0,0,0,0.1,DELETE,DELETE,DELETE
Diego Rossi,LAFC,M/F,9800,446,2,0,16,7,9,7,120,1,2,0,1,0,2,0.8,DELETE,DELETE,DELETE
Donny Toia,RSL,D,4400,341,0,0,3,0,7,2,137,3,9,3,5,2,0.1,0.1,DELETE,DELETE,DELETE
Douglas Martinez,RSL,F,4600,129,0,0,6,3,1,1,23,4,6,1,0,0,0.7,0,DELETE,DELETE,DELETE
Eddie Segura,LAFC,D,4000,405,0,0,3,2,0,0,307,2,5,9,2,0,0.2,0,DELETE,DELETE,DELETE
Eduard Atuesta,LAFC,M,4400,217,0,0,4,0,1,2,182,5,7,3,1,0,0.4,0.1,DELETE,DELETE,DELETE
Erik Holt,RSL,D,3000,18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,DELETE,DELETE,DELETE
Everton Luiz,RSL,M,3400,174,0,0,0,0,0,0,58,4,1,2,1,0,0,0,DELETE,DELETE,DELETE
Francisco Ginella,LAFC,M,3200,257,0,1,2,1,2,3,137,3,3,4,4,1,0.4,0.3,DELETE,DELETE,DELETE
Jeizon Ramirez,RSL,M/F,5000,33,0,0,1,1,3,0,10,0,0,1,0,0,0,0,DELETE,DELETE,DELETE
Jordan Harvey,LAFC,D,3000,124,0,0,0,0,0,0,65,1,5,1,1,2,0,0,DELETE,DELETE,DELETE
Jose Cifuentes,LAFC,M,7400,388,0,0,12,3,4,9,216,4,12,12,2,3,0.5,0.7,DELETE,DELETE,DELETE
Justen Glad,RSL,D,3600,342,0,0,2,1,1,1,143,2,9,7,2,2,0,0,DELETE,DELETE,DELETE
Justin Meram,RSL,M/F,6600,346,2,0,6,4,13,3,89,4,5,1,1,0,0.4,0.4,DELETE,DELETE,DELETE
Kyle Beckerman,RSL,M,4000,83,0,0,2,0,0,1,53,2,6,2,1,3,0.1,0,DELETE,DELETE,DELETE
Latif Blessing,LAFC,D,5000,405,0,0,5,0,7,2,248,16,11,12,1,0,0.5,0.2,DELETE,DELETE,DELETE
Maikel Chang,RSL,M,6200,355,0,2,6,2,16,16,89,5,3,1,2,0,0.5,1.7,DELETE,DELETE,DELETE
Marcelo Silva,RSL,D,4200,180,0,0,2,0,0,0,85,1,2,3,0,0,0.1,0,DELETE,DELETE,DELETE
Mark-Anthony Kaye,LAFC,M,7800,318,2,2,5,3,1,10,186,4,4,6,2,0,1.4,1.8,DELETE,DELETE,DELETE
Milan Iloski,RSL,F,4200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DELETE,DELETE,DELETE
Mohamed El Monir,LAFC,D,3600,35,0,0,0,0,0,0,24,1,1,1,1,0,0,0,DELETE,DELETE,DELETE
Mohamed Traore,LAFC,D,3000,45,0,0,1,0,0,0,24,0,0,0,0,0,0,0,DELETE,DELETE,DELETE
Nedum Onuoha,RSL,D,3800,450,0,0,3,0,1,2,167,3,3,4,2,0,0.1,0.2,DELETE,DELETE,DELETE
Nick Besler,RSL,M,3200,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DELETE,DELETE,DELETE
Pablo Ruiz,RSL,M,4800,353,0,0,10,4,0,4,197,3,4,10,1,2,0.4,0,DELETE,DELETE,DELETE
Pablo Sisniega,LAFC,GK,7000,450,0,0,0,0,0,0,84,0,0,0,0,0,0,0,DELETE,DELETE,DELETE
Sam Johnson,RSL,F,4800,42,0,0,1,0,0,0,4,0,0,0,0,0,0,0,DELETE,DELETE,DELETE
Tristan Blackmon,LAFC,D,3000,45,0,0,0,0,2,0,21,1,2,2,1,0,0,0,DELETE,DELETE,DELETE