Player,Team,Pos,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Salary,FPPG,FPPG/$1000,Floor,Floor/$1000,FPPG-Floor,Team_Odds,FPPG_w_Odds,Floor_w_Odds,Starting
J. Moraes,SHK,F,4.00,3,1,15,8,2,4,62,9,6,7,0,0,0,12800,19.66,1.54,10.66,0.83,9.00,0.52,19.88,10.88,y
A. Patrick,SHK,M/F,3.87,2,0,5,5,5,7,227,4,3,5,5,0,0,9000,14.23,1.58,9.06,1.01,5.17,0.52,14.45,9.28,y
F. Frei,BAS,M,3.70,3,1,6,2,4,6,147,3,2,2,3,0,0,8200,16.55,2.02,6.82,0.83,9.73,0.24,13.90,4.17,y
Marlos,SHK,M,2.43,0,1,5,3,4,6,100,5,0,0,1,0,0,9200,12.45,1.35,9.99,1.09,2.47,0.52,12.67,10.20,y
S. Campo,BAS,M,3.86,1,1,4,3,18,10,163,5,3,5,6,1,0,7200,15.27,2.12,11.12,1.54,4.15,0.24,12.62,8.47,y
M. Antonio,SHK,M,2.93,1,0,3,1,0,3,172,7,3,2,3,0,0,4800,10.04,2.09,6.63,1.38,3.41,0.52,10.25,6.84,y
R. Petretta,BAS,D,3.12,1,1,3,1,5,3,66,1,0,4,6,0,0,5400,11.47,2.12,6.35,1.18,5.12,0.24,8.83,3.70,y
V. Stocker,BAS,M,3.71,1,0,8,1,6,4,94,8,8,8,1,1,0,6400,10.80,1.69,8.11,1.27,2.69,0.24,8.15,5.46,y
T. Stepanenko,SHK,M,3.00,1,0,2,2,0,1,156,0,5,6,4,0,0,4200,7.87,1.87,4.54,1.08,3.33,0.52,8.09,4.76,y
Taison,SHK,M/F,3.84,0,1,6,1,2,6,176,6,5,3,1,1,0,8800,7.65,0.87,6.09,0.69,1.56,0.52,7.87,6.31,y
Arthur,BAS,F,3.34,1,0,8,2,0,2,47,11,7,0,0,0,0,7600,9.10,1.20,6.11,0.80,2.99,0.24,6.45,3.46,y
Dodo,SHK,D,4.00,0,1,0,0,6,3,176,5,1,3,1,0,0,5800,6.18,1.07,4.68,0.81,1.50,0.52,6.40,4.90,y
S. Widmer,BAS,D,3.00,0,0,7,4,7,2,104,3,4,4,3,0,0,6200,8.83,1.42,8.83,1.42,0.00,0.24,6.18,6.18,y
A. Pululu,BAS,F,0.84,0,0,1,1,1,0,10,2,1,2,0,0,0,7000,7.58,1.08,7.58,1.08,0.00,0.24,4.93,4.93,y
M. Matviyenko,SHK,D,4.00,0,0,1,1,4,1,232,1,2,2,10,0,0,5000,4.36,0.87,4.36,0.87,0.00,0.52,4.58,4.58,y
T. Xhaka,BAS,M,3.96,0,0,1,0,0,3,164,6,2,7,1,0,0,3600,5.00,1.39,5.00,1.39,0.00,0.24,2.35,2.35,y
S. Kryvstov,SHK,D,4.00,0,0,1,1,0,0,173,1,3,1,7,1,0,3400,1.99,0.59,1.99,0.59,0.00,0.52,2.21,2.21,y
A. Pyatov,SHK,GK,4.00,0,0,0,0,0,1,86,1,0,0,0,0,0,6600,0.93,0.14,0.93,0.14,0.00,0.52,1.15,1.15,y
J. van der Werff,BAS,D,0.42,0,0,0,0,0,0,10,0,0,1,0,0,0,3000,2.84,0.95,2.84,0.95,0.00,0.24,0.20,0.20,y
O. Alderete,BAS,D,3.00,0,0,2,0,0,1,80,1,8,6,5,2,0,3000,2.37,0.79,2.37,0.79,0.00,0.24,-0.28,-0.28,y
D. Nikolic,BAS,GK,2.00,0,0,0,0,0,0,38,0,0,0,0,0,0,4600,0.38,0.08,0.38,0.08,0.00,0.24,-2.27,-2.27,y
V. Kovalenko,SHK,M,1.91,1,0,3,2,0,3,59,2,3,3,2,0,0,6200,12.39,2.00,7.16,1.15,5.23,0.52,12.61,7.38,
Tete,SHK,M,1.33,0,0,3,1,5,1,56,4,0,0,1,0,0,5000,10.59,2.12,10.59,2.12,0.00,0.52,10.81,10.81,
Ismaily,SHK,D,2.74,0,0,3,2,5,1,159,4,2,6,6,1,0,6800,8.45,1.24,8.45,1.24,0.00,0.52,8.66,8.66,
B. Riveros,BAS,D,3.00,0,0,2,1,6,1,111,5,3,8,2,0,0,4000,7.64,1.91,7.64,1.91,0.00,0.24,4.99,4.99,
E. Comert,BAS,D,4.00,0,1,5,2,0,1,230,3,4,2,9,2,0,4000,5.78,1.44,4.28,1.07,1.50,0.24,3.13,1.63,
E. Isufi,BAS,D,1.00,0,0,0,0,0,1,75,1,3,2,1,1,0,3000,3.00,1.00,3.00,1.00,0.00,0.24,0.35,0.35,
D. Khocholava,SHK,D,1.00,0,0,0,0,0,0,29,2,2,1,0,0,1,3200,-0.42,-0.13,-0.42,-0.13,0.00,0.52,-0.20,-0.20,
J. Omlin,BAS,GK,2.00,0,0,0,0,0,0,60,0,0,0,0,0,0,4400,0.60,0.14,0.60,0.14,0.00,0.24,-2.05,-2.05,