Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Odds,Team_Goal_Odds,Pts_w_GOdds,Start_Mins,Sub_Mins,Starting
Alejandro Pozuelo,TOR,,11600,2.92,1,2,7,4,9,11,216,4,6,3,1,2,0,12.7,25.27,1.5,4.8,0.31,0.64,1.4,2.4,0.58,1.2,0.71,2.05,27.4,88,,y
Auro,TOR,,6400,3,0,0,2,2,13,7,266,2,4,4,4,1,0,10.47,14.42,0.2,4.8,0.04,0.09,0.7,2.4,0.29,0.6,0.71,2.05,17.28,90,,y
Jonathan Osorio,TOR,,7600,2.91,0,2,6,1,4,6,236,4,0,3,0,0,0,9.45,12.02,0.6,4.8,0.13,0.26,0,2.4,0,0,0.71,2.05,14.44,87,,y
Pablo Piatti,TOR,,10800,2.73,2,0,7,4,11,3,131,5,7,2,0,1,0,10.18,12.62,0.7,4.8,0.15,0.3,0,2.4,0,0,0.71,2.05,14.1,82,,y
Justin Morrow,TOR,,5200,1.37,0,0,1,0,3,0,87,0,0,5,4,0,0,8.66,10.37,0.4,4.8,0.08,0.17,0,2.4,0,0,0.71,2.05,11.76,80,12,y
Jozy Altidore,TOR,,9800,1.12,0,0,3,1,2,5,42,0,2,2,0,0,0,10.91,12.28,0.2,4.8,0.04,0.09,0.1,2.4,0.04,0.09,0.71,2.05,8.49,51,0,y
Marky Delgado,TOR,,4800,2.04,0,0,3,1,1,0,145,1,0,1,2,0,0,5.18,6.04,0.2,4.8,0.04,0.09,0,2.4,0,0,0.71,2.05,7.41,75,34,y
Richie Laryea,TOR,,6600,1.52,1,0,3,1,3,1,86,1,4,1,0,0,0,5.79,6.65,0.2,4.8,0.04,0.09,0,2.4,0,0,0.71,2.05,7.24,69,0,
Michael Bradley,TOR,,4000,3,0,0,1,1,1,1,269,1,2,1,4,0,0,4.03,4.03,0,4.8,0,0,0,2.4,0,0,0.71,2.05,6.88,90,,y
Zachary Brault-Guillard,MTL,,5800,2,0,0,1,0,5,2,62,1,2,4,6,0,0,7.37,9.33,0,0.8,0,0,0.3,0.9,0.33,0.33,0.13,0.98,6.29,90,,y
Chris Mavinga,TOR,,5400,3,0,0,0,0,0,0,199,1,2,4,4,0,0,3.33,3.33,0,4.8,0,0,0,2.4,0,0,0.71,2.05,6.18,90,,y
Omar Gonzalez,TOR,,4600,3,0,0,1,0,0,0,159,1,1,2,3,0,0,2.73,2.73,0,4.8,0,0,0,2.4,0,0,0.71,2.05,5.58,90,,y
Romell Quioto,MTL,,9600,1.87,1,0,2,2,11,2,29,0,2,0,0,0,0,7.11,8.99,0.1,0.8,0.13,0.12,0.1,0.9,0.11,0.11,0.13,0.98,5.56,84,,y
Maximiliano Urruti,MTL,,9200,1.18,0,0,1,0,2,1,22,1,1,2,1,0,0,5.81,8.91,0.2,0.8,0.25,0.25,0.1,0.9,0.11,0.11,0.13,0.98,4.57,70,36,
Samuel Piette,MTL,,3400,1,0,0,0,0,1,2,34,1,2,2,2,0,0,6.38,7.03,0,0.8,0,0,0.1,0.9,0.11,0.11,0.13,0.98,4,90,0,y
Liam Fraser,TOR,,3400,0.83,0,0,0,0,0,1,101,0,2,2,0,1,0,4.02,2.52,0,4.8,0,0,0,2.4,0,0,0.71,2.05,3.35,56,10,
Victor Wanyama,MTL,,3800,2,0,0,4,1,0,0,73,3,5,1,2,1,0,4.48,6.18,0.2,0.8,0.25,0.25,0,0.9,0,0,0.13,0.98,3.15,90,,y
Lassi Lappalainen,MTL,,6800,1.72,1,0,1,1,2,0,49,1,3,1,0,0,0,2.83,5.28,0.2,0.8,0.25,0.25,0,0.9,0,0,0.13,0.98,1.94,78,,y
Emanuel Maciel,MTL,,3600,2,0,1,0,0,1,2,67,2,2,1,2,0,0,3.52,4.83,0,0.8,0,0,0.2,0.9,0.22,0.22,0.13,0.98,1.79,90,,y
Saphir Taider,MTL,,9400,0.6,0,1,1,0,3,1,20,0,0,0,1,0,0,5,5.65,0,0.8,0,0,0.1,0.9,0.11,0.11,0.13,0.98,1.57,54,0,y
Jukka Raitala,MTL,,4400,2,0,0,0,0,0,0,92,1,3,5,5,0,0,4.42,4.42,0,0.8,0,0,0,0.9,0,0,0.13,0.98,1.38,90,,y
Amar Sejdic,MTL,,3200,0.76,0,0,0,0,0,0,19,2,1,1,1,0,0,3.38,3.38,0,0.8,0,0,0,0.9,0,0,0.13,0.98,0.26,68,0,
Quentin Westberg,TOR,GK,8800,3,0,0,0,0,0,0,89,1,0,0,0,0,0,0.93,0.93,0,4.8,0,0,0,2.4,0,0,0.71,2.05,0,,,
Laurent Ciman,TOR,,3400,0.19,0,0,0,0,0,0,4,0,1,0,0,0,0,-0.42,-0.42,0,4.8,0,0,0,2.4,0,0,0.71,2.05,0,,6,
Shamit Shome,MTL,,3000,0.24,0,0,0,0,1,0,7,0,0,1,0,0,0,1.84,1.84,0,0.8,0,0,0,0.9,0,0,0.13,0.98,0,0,11,
Clement Diop,MTL,GK,4200,2,0,0,0,0,0,0,51,0,0,0,0,0,0,0.51,0.51,0,0.8,0,0,0,0.9,0,0,0.13,0.98,0,,,
Tsubasa Endoh,TOR,,4600,0.19,0,0,1,0,0,1,18,1,0,2,0,0,0,5.36,5.79,0.1,4.8,0.02,0.04,0,2.4,0,0,0.71,2.05,0,,6,
Orji Okwonkwo,MTL,,4800,0.5,0,0,1,1,1,0,5,0,1,0,0,0,0,2.3,2.3,0,0.8,0,0,0,0.9,0,0,0.13,0.98,0,,23,
Anthony Jackson-Hamel,MTL,,3600,0.13,0,0,1,0,0,0,2,1,0,0,1,1,0,2.54,2.27,0.1,0.8,0.13,0.12,0,0.9,0,0,0.13,0.98,0,,6,
Nick DeLeon,TOR,,7800,1.09,1,0,3,1,0,2,46,1,2,1,1,0,0,7.73,9.19,0.1,4.8,0.02,0.04,0.2,2.4,0.08,0.17,0.71,2.05,0,,24,
Patrick Mullins,TOR,,8400,1.08,0,0,4,1,2,0,17,2,0,0,0,0,0,8.11,10.67,0.6,4.8,0.13,0.26,0,2.4,0,0,0.71,2.05,0,,40,
Luis Binks,MTL,,3400,2,0,0,1,0,0,0,85,0,4,1,5,0,0,2.1,2.1,0,0.8,0,0,0,0.9,0,0,0.13,0.98,-0.94,90,,y
Rudy Camacho,MTL,,3000,2,0,0,1,0,0,0,100,0,7,3,5,1,0,2.5,1.75,0,0.8,0,0,0,0.9,0,0,0.13,0.98,-1.29,90,,y